country,description,points,price,variety,contains_location,country_from_location,keywords
Italy,"Made with organically farmed fruit, this blend of Sangiovese, Cabernet Sauvignon and Colorino opens with an inky, dark color and savory aromas of ripe fruit, prune, plum, leather, tobacco and exotic spice. It's firm and well structured, with a velvety feel to the tannins.",89,35.0,Red Blend,False,None,"['organically farmed fruit', 'Sangiovese', 'Cabernet Sauvignon', 'Colorino', 'inky', 'dark color', 'savory aromas', 'ripe fruit', 'prune', 'plum', 'leather', 'tobacco', 'exotic spice', 'firm', 'well structured', 'velvety tannins']"
Italy,"Aromas of blue flower, black-skinned fruit and a whiff of Mediterranean scrub meld in the glass. The chewy, straightforward palate doles out juicy black cherry and ground pepper. It's made to drink young so enjoy soon.",89,22.0,Nero d'Avola,False,None,"['aromas', 'blue flower', 'black-skinned fruit', 'Mediterranean scrub', 'chewy', 'palate', 'juicy black cherry', 'ground pepper', 'drink young']"
Italy,"Bright, clean and linear with pretty accents of spice, blackberry, leather and lingering tobacco, Villa al Cortile Riserva is the kind of wine you'll want to pair with a hearty meat dinner. The wine shows velvety, soft texture in the mouth.",91,60.0,Sangiovese Grosso,True,Italy,"['bright', 'clean', 'linear', 'spice', 'blackberry', 'leather', 'tobacco', 'hearty meat dinner', 'velvety', 'soft texture']"
US,"Though labeled simply Columbia Valley, the grapes are single vineyard, Rattlesnake Hills AVA fruit. The best of the Girly Girl lineup, though the promising beginning (cassis and berry, scented with black olive and herb) quickly fades into a forest floor finale of decaying leaves.",85,19.0,Cabernet Sauvignon,True,US,"['Columbia Valley', 'Rattlesnake Hills AVA', 'single vineyard', 'cassis', 'berry', 'black olive', 'herb', 'forest floor', 'decaying leaves']"
US,"The 2009 vintage blend is 41% Marsanne, 42% Grenache Blanc, 10% Picpoul and 7% Roussanne. Complex, rich and dense, it wraps its stone and tropical fruit flavors in layers of caramel, nougat, marshmallow and spice. Still quite young, with plenty of years of life ahead.",92,25.0,White Blend,False,None,"['2009 vintage', 'blend', 'Marsanne', 'Grenache Blanc', 'Picpoul', 'Roussanne', 'complex', 'rich', 'dense', 'stone fruit', 'tropical fruit', 'caramel', 'nougat', 'marshmallow', 'spice', 'young', 'years of life ahead']"
Italy,"A blend of Nero d'Avola, Syrah, Merlot and Cabernet Sauvignon, Campobello's entry-level red is slightly muddled, but it does a good job of offering genuine fruit flavors and overall freshness.",86,17.0,Red Blend,True,Italy,"['blend', ""Nero d'Avola"", 'Syrah', 'Merlot', 'Cabernet Sauvignon', 'entry-level red', 'genuine fruit flavors', 'overall freshness']"
US,"This unusual wine displays notes of cigar box, strong green herbs and woodspice. It drinks on the lighter side of medium bodied with coffee and nori flavors and a smoke-filled finish.",82,22.0,Tempranillo,False,None,"['cigar box', 'green herbs', 'woodspice', 'medium bodied', 'coffee', 'nori', 'smoke-filled finish']"
US,"A bit rough in texture, but otherwise pretty flavorful, with vanilla, lime, strawberry and yeast flavors. It's a great sparkling wine for everyday.",87,30.0,Sparkling Blend,False,None,"['rough texture', 'flavorful', 'vanilla', 'lime', 'strawberry', 'yeast', 'sparkling wine', 'everyday']"
France,"It's not a bad name for this vineyard—Charmes. This wine, which expresses the nature of the vineyard, is certainly approachable, friendly almost. But there's also a steel fist there that demands time. And if you can't wait, it's a great wine to drink now.",93,92.0,Chardonnay,True,France,"['Charmes', 'approachable', 'friendly', 'steel fist', 'demands time', 'great wine', 'drink now']"
US,"Like a photocopy of a photocopy, this thinned-down Pinot Noir contains only a suggestion of the real thing. It's dry, but watery in cherry-cola flavors.",82,12.0,Pinot Noir,False,None,"['photocopy', 'thinned-down', 'Pinot Noir', 'dry', 'watery', 'cherry-cola']"
US,"Spicy and dry, this Zin offers flavors of currants, tobacco, pepper and cocoa. The tannins are thick, but acidity is low, giving it a soft mouthfeel. Could be more concentrated, but it's an elegant wine.",87,36.0,Zinfandel,False,None,"['Spicy', 'dry', 'Zin', 'currants', 'tobacco', 'pepper', 'cocoa', 'thick tannins', 'low acidity', 'soft mouthfeel', 'elegant']"
US,"Fresh ripe raspberry aromas are cut with cranberry-skin tartness in this wine by Josh Baker and Matt Brain. They have also managed to sneak blood, pencil shavings, eucalyptus and vanilla stick into the nose of this appellation blend. It's lively and tasty with ripe, tart red fruits once sipped, juicy yet cut with chaparral scrub elements.",91,30.0,Pinot Noir,False,None,"['fresh ripe raspberry', 'cranberry-skin tartness', 'blood', 'pencil shavings', 'eucalyptus', 'vanilla stick', 'lively', 'tasty', 'ripe tart red fruits', 'juicy', 'chaparral scrub']"
US,"Here's a pleasant, fruity, rich Bordeaux blend that impresses for its sheer wealth of flavor. Floods the mouth with blackberries, cherries, red and black currants and sweet, smoky oak, with firm but finely ground tannins. Feels direct and simple now, but that could be a function of youth. Try holding for 4–6 years and see where it goes.",89,40.0,Bordeaux-style Red Blend,True,France,"['pleasant', 'fruity', 'rich', 'Bordeaux blend', 'wealth of flavor', 'blackberries', 'cherries', 'red currants', 'black currants', 'sweet oak', 'smoky oak', 'firm tannins', 'finely ground tannins', 'youth', 'hold for 4–6 years']"
France,"Powerful and intense without going over the top, this is a fine example of white Hermitage. The golden straw color gives a first indication of its richness, followed by scents of honey, even a hint of butterscotch. It's unctuous in the mouth, boasting flavors of grilled nuts and stone fruits, and finishing with just a touch of warmth.",92,50.0,Rhône-style White Blend,True,France,"['powerful', 'intense', 'white Hermitage', 'golden straw color', 'richness', 'scents of honey', 'butterscotch', 'unctuous', 'grilled nuts', 'stone fruits', 'warmth']"
US,"Though it's a huge tannic monster right now, this Bordeaux blend, a first release and new brand name from Steven Kent Winery, is an ode to Steven Kent Mirassou's family's long lineage in California winemaking and the roots of Livermore's history in wine as well. A majority Cabernet (75%), with all the lush cassis and black cherry one would hope for, the wine shows nicely honed herbal notes from its 15% Cab Franc in the middle, with a little touch of spice on the finish coming from 5% Petit Verdot (3% Malbec and 2% Merlot round out the blend). Give this one time and it will surely reward.",94,125.0,Bordeaux-style Red Blend,True,US,"['Bordeaux blend', 'Steven Kent Winery', 'Cabernet', 'cassis', 'black cherry', 'Cab Franc', 'spice', 'Petit Verdot', 'Malbec', 'Merlot', 'tannic', 'Livermore', 'California winemaking']"
US,"Dry as a bone, with bristling minerality, this is an elegant rosé that balances penetrating strawberry, cherry and plum flavors with sharp, lime-tinged acidity and a hint of wildflower. Drink now.",88,20.0,Rosé,False,None,"['dry', 'minerality', 'elegant', 'rosé', 'strawberry', 'cherry', 'plum', 'sharp acidity', 'lime', 'wildflower', 'drink now']"
US,"One of the first 2008 Pinots to be released, this fresh young wine has Beaujolais Nouveau-like flavors of freshly crushed cherries, with tangy acidity. It's a fun wine to drink with a juicy cheeseburger.",85,16.0,Pinot Noir,False,None,"['2008', 'Pinots', 'fresh', 'Beaujolais Nouveau', 'freshly crushed cherries', 'tangy acidity', 'fun wine', 'juicy cheeseburger']"
US,"A very good introduction to Steven Kent's Livermore Cabernets, sourced from a handful of his single-vineyard designates, including the Ghielmetti, Home Ranch and Smith Ranch. This is 79% Cab with smatterings of Cab Franc, Malbec and Petit Verdot (an up and coming varietal in Livermore), and still needs some time to develop but all the essentials are there.",89,35.0,Cabernet Sauvignon,True,US,"['Steven Kent', 'Livermore Cabernets', 'single-vineyard', 'Ghielmetti', 'Home Ranch', 'Smith Ranch', '79% Cab', 'Cab Franc', 'Malbec', 'Petit Verdot', 'develop', 'essentials']"
France,"Syrah and Cabernet Sauvignon make a warm, blend that is full, herbal and concentrated with black fruits and dark tannins. Spice provides a reminder that this wine comes from a warm climate. Drink now, although the wine will be better from 2016.",91,40.0,Red Blend,False,None,"['Syrah', 'Cabernet Sauvignon', 'warm blend', 'full', 'herbal', 'concentrated', 'black fruits', 'dark tannins', 'spice', 'warm climate', 'drink now', 'better from 2016']"
Italy,"This opens with a pretty floral fragrance of acacia, Spanish broom and chamomile. The palate doles out white peach and tangerine zest alongside fresh acidity.",87,20.0,White Blend,False,None,"['floral fragrance', 'acacia', 'Spanish broom', 'chamomile', 'white peach', 'tangerine zest', 'fresh acidity']"
France,"Green vegetable aromas mingle with fresh kiwi and lime and a touch of pepper and salt. The wine is going through the sort of closed-up phase common with Chenin Blanc, the fruits just a hint, the texture smooth. Give it another 3–4 years, and the fruits will come together with mature almond flavors.",91,22.0,Chenin Blanc,False,None,"['green vegetable aromas', 'fresh kiwi', 'lime', 'pepper', 'salt', 'closed-up phase', 'Chenin Blanc', 'smooth texture', 'mature almond flavors']"
US,"Ripe orange, lime and honey flavors combine with tingly, mouth-watering acidity to give this dry Chardonnay a sweet-and-sour taste. It's an easy wine to drink with mushroom risotto, garlic shrimp, chicken fajitas.",87,20.0,Chardonnay,False,None,"['ripe orange', 'lime', 'honey', 'tingly acidity', 'dry Chardonnay', 'sweet-and-sour taste', 'easy to drink', 'mushroom risotto', 'garlic shrimp', 'chicken fajitas']"
US,"This delicate Pinot Noir provides plenty of drinking pleasure, but it's not without limitations. Chief among them is a hint of raw, dank mushroom. It's not strong, but just enough to weigh down the raspberries and cherries. Drink it by 2016.",87,45.0,Pinot Noir,False,None,"['delicate', 'Pinot Noir', 'drinking pleasure', 'raw', 'dank mushroom', 'raspberries', 'cherries', 'drink by 2016']"
US,"The shade of this Kathy Joseph creation is that of rosé-colored sunglasses. Such comfort is furthered with a cherry cola and maraschino cherry nose. A slight effervescent zing on the palate accompanies pomegranate flavors followed by an impressively long finish. Great with a fresh garden salad, but able to handle more substantial fare too, such as  breaded chicken cutlets or a cheeseburger.",89,22.0,Pinot Noir,False,None,"['Kathy Joseph', 'rosé-colored', 'cherry cola', 'maraschino cherry', 'effervescent', 'pomegranate', 'long finish', 'fresh garden salad', 'breaded chicken cutlets', 'cheeseburger']"
France,"Overt and round, with chunky aromas of berries and stone fruits. Quite lively and zesty, with purity of flavors. Is it a touch limited in scope and complexity? Yes. But the nectarine and orange flavors are crystalline and the mouthfeel rocks. Imported by Vranken America.",90,130.0,Champagne Blend,False,None,"['overt', 'round', 'chunky aromas', 'berries', 'stone fruits', 'lively', 'zesty', 'purity of flavors', 'limited in scope', 'complexity', 'nectarine', 'orange flavors', 'crystalline', 'mouthfeel', 'Vranken America']"
Italy,"A pale pink sparkler with loads of intensity and elegance, Essence opens with delicate aromas of cranberry, toasted almond, mature fruit and grapefruit. The wine's perlage is steady and foamy.",90,36.0,Sparkling Blend,False,None,"['pale pink', 'sparkler', 'intensity', 'elegance', 'aromas', 'cranberry', 'toasted almond', 'mature fruit', 'grapefruit', 'perlage', 'steady', 'foamy']"
US,Nasty. Hits the mouth with astringent green flavors and turns harsher and more bitter on the finish.,80,24.0,Zinfandel,False,None,"['nasty', 'astringent', 'green flavors', 'harsher', 'bitter', 'finish']"
US,"This wine's excellently layered yet light nose mixes pomelo skin with tangelo and lime-spritzed pink-apple notes. The palate is extremely nervy, with grippy lemon-skin texture and squeezed-citrus flavors, all balanced by riper apple. It's like biting into a cold, crisp, just-ripe pear or nectarine.",93,30.0,Grüner Veltliner,False,None,"['layered', 'light nose', 'pomelo skin', 'tangelo', 'lime-spritzed', 'pink-apple', 'nervy', 'grippy', 'lemon-skin texture', 'squeezed-citrus flavors', 'riper apple', 'cold', 'crisp', 'just-ripe pear', 'nectarine']"
Italy,Viognier does well in warm climates and this Sicilian expression of the French grape shows pretty floral nuances backed by white almond and orange blossom. Pair this wine with sea bass grilled in lemon leaves or fried squid.,86,18.0,Viognier,True,Italy,"['Viognier', 'warm climates', 'Sicilian', 'floral nuances', 'white almond', 'orange blossom', 'sea bass', 'grilled', 'lemon leaves', 'fried squid']"
Spain,"Yeasty, bready aromas of cantaloupe and citrus feed into an undefined palate that foams up on tongue. Citrus and melon flavors are bland, with powdered sugar and orange notes on the finish.",82,10.0,Bobal,False,None,"['yeasty', 'bready', 'cantaloupe', 'citrus', 'palate', 'foams', 'bland', 'powdered sugar', 'orange notes', 'finish']"
US,"Sourced from a vineyard planted by Gary Andrus in 1998, this elegant and expressive wine is shaded a lovely rose tone, and scents of rose petals and ripe cherries emerge instantly from the glass. It's well defined, balanced and detailed with sandalwood, cocoa powder, cinnamon and orange-liqueur highlights. Drink now through 2021.",93,45.0,Pinot Noir,True,US,"['elegant', 'expressive', 'rose tone', 'rose petals', 'ripe cherries', 'well defined', 'balanced', 'detailed', 'sandalwood', 'cocoa powder', 'cinnamon', 'orange-liqueur', 'drink now through 2021']"
France,The classic blend for Figeac with its 32% of Cabernet Sauvignon and 28% Cabernet Franc gives a beautifully dense wine with great tannins. The wine is perfumed while the complex tannins are finely cushioned by the generous black fruits and acidity. It is a wine for long-term aging. Drink from 2026.,97,90.0,Bordeaux-style Red Blend,True,France,"['Figeac', 'Cabernet Sauvignon', 'Cabernet Franc', 'dense wine', 'great tannins', 'perfumed', 'complex tannins', 'black fruits', 'acidity', 'long-term aging', 'Drink from 2026']"
US,"This wine wears its 15.8% alcohol better than any similarly heady wine out there. Yes, it's a bit hot, but the heat comes across as a slight chili pepper edge to the blackberry and dark unsweetened chocolate flavors, and the wine is, in its own way, balanced and elegant. Hard to imagine a more perfect barbecue red.",90,31.0,Primitivo,False,None,"['15.8% alcohol', 'hot', 'chili pepper', 'blackberry', 'dark unsweetened chocolate', 'balanced', 'elegant', 'barbecue red']"
US,"Like the regular Chardonnay, Beuna Vista's regular Pinot Noir is a medium-bodied, easy-drinking version of the variety. There's enough herbal complexity to keep it interesting, but the cherry-tinged fruit is ripe and the tannins supple. Finishes with a burst of crisp acidity.",87,22.0,Pinot Noir,True,US,"['medium-bodied', 'easy-drinking', 'herbal complexity', 'cherry-tinged fruit', 'ripe', 'supple tannins', 'crisp acidity']"
US,"Similar to Petite Sirah, this is a dark, full-bodied red wine with significant tannins. It's dry, with berry, currant and spice flavors, and kind of rustic. Calls to mind barbecue.",85,30.0,Teroldego,False,None,"['dark', 'full-bodied', 'red wine', 'significant tannins', 'dry', 'berry', 'currant', 'spice flavors', 'rustic', 'barbecue']"
France,"A quite green style of Champagne, very clean and very crisp. From one of the Champagne cooperatives, this is a great value wine, with pleasing freshness. Imported by Grape Expectations of Georgia.",86,38.0,Champagne Blend,True,France,"['green style', 'Champagne', 'clean', 'crisp', 'cooperatives', 'great value', 'pleasing freshness', 'imported', 'Grape Expectations', 'Georgia']"
US,"At first this Chaleur Estate seemed closed up tight and lightly herbal, but grudgingly opened with streaks of olive, chalk, coffee grounds. A second bottle was much brighter, layered with plum, cherry, chocolate, herb, and an impression of pepper. Subtle and sleek, this wine is built to age and needs to be decanted.",93,75.0,Red Blend,True,US,"['Chaleur Estate', 'herbal', 'olive', 'chalk', 'coffee grounds', 'plum', 'cherry', 'chocolate', 'herb', 'pepper', 'subtle', 'sleek', 'built to age', 'needs to be decanted']"
US,"An elegant Cabernet that's ready to drink tonight and will hold for some years. Shows good Napa character, with lush, ripe tannins and flavors of black currants, blackberries and cedar that cry out for a good steak.",88,30.0,Cabernet Sauvignon,True,US,"['elegant', 'Cabernet', 'ready to drink', 'Napa character', 'lush', 'ripe tannins', 'black currants', 'blackberries', 'cedar', 'good steak']"
US,"A light, entry-level red, with fresh berry aromas and a touch of dried herbs. Dry, but with an appealing softness to its texture.",85,15.0,Red Blend,False,None,"['light', 'entry-level', 'red', 'fresh berry aromas', 'dried herbs', 'dry', 'softness', 'texture']"
US,"This new Malbec is a soft, fruity, extremely dark wine, with scents of raisins and pretty fruit flavors of boysenberries and black cherries, with lighter streaks of coffee and caramel woven through. The balance is excellent, though the wine does not show the depth of flavor that is expressed in its inky dark colors.",88,28.0,Malbec,False,None,"['Malbec', 'soft', 'fruity', 'dark wine', 'scents of raisins', 'boysenberries', 'black cherries', 'coffee', 'caramel', 'balance', 'depth of flavor', 'inky dark colors']"
France,"Light, fresh wine, showing pineapple and pear flavors, but in a delicate way. It has lift, crispness, a fine touch of citrus and a hint of toast. An attractive, easy white Burgundy. Imported by Frederick Wildman & Sons, Ltd.",85,17.0,Chardonnay,True,France,"['light', 'fresh', 'pineapple', 'pear', 'delicate', 'lift', 'crispness', 'citrus', 'toast', 'attractive', 'easy', 'white Burgundy']"
Spain,"Dark and deep, with cola, black fruit and truffle aromas. There's good lift to the palate, but overall it has to be classified as a dense, warm-climate wine with a big body and equally large flavors of black plum, olive and coffee. Seems short and a little simple on the finish.",87,40.0,Monastrell,False,None,"['dark', 'deep', 'cola', 'black fruit', 'truffle', 'good lift', 'dense', 'warm-climate', 'big body', 'large flavors', 'black plum', 'olive', 'coffee', 'short finish', 'simple finish']"
US,"Light and citrusy, this off-dry Riesling features pleasant floral and spice notes that just lack a little zip on the finish.",83,12.0,White Riesling,False,None,"['light', 'citrusy', 'off-dry', 'Riesling', 'floral', 'spice notes', 'zip', 'finish']"
US,"Stiff and tart, this young wine needs a few more years of cellaring to fill itself out. The balance is right, and the vineyard's full-bodied tannins are there in abundance.",88,28.0,Cabernet Franc,False,None,"['stiff', 'tart', 'young wine', 'cellaring', 'balance', 'full-bodied tannins', 'abundance']"
US,"Thin and watery, with diluted citrus flavors and lots of raw acidity.",81,15.0,Fumé Blanc,False,None,"['thin', 'watery', 'diluted', 'citrus flavors', 'raw acidity']"
US,"Sobra is Brazilian Portuguese for leftovers. It's a Bordeaux blend, but the recipe changes every year. This is very nice and drinking well, smooth with a nicely resolved mix of black fruits, smoky wood, pepper and a bit of bacon fat.",88,24.0,Red Blend,False,None,"['Sobra', 'Bordeaux blend', 'black fruits', 'smoky wood', 'pepper', 'bacon fat']"
US,"A Côtes du Rhône-style blend meant to be drunk early and around a weekday meal, among Terre Rouge's easiest to drink and find wines. There's lots to like, from the wine's high-toned cherry and boysenberry aromas and flavors to its traces of black olive and jaunty, gamy pepper.",88,18.0,Rhône-style Red Blend,True,France,"['Côtes du Rhône', 'blend', 'drunk early', 'weekday meal', 'easy to drink', 'high-toned cherry', 'boysenberry', 'black olive', 'gamy pepper']"
France,"The simplest and fruitiest of the Cahors made at Gaudou, this is still a structured wine that has some firm, very young tannins that need to round out. Plenty of fruity, fresh black-currant flavor is cut by crisp acidity. The wine will need to age, so drink from 2016.",87,17.0,Malbec-Merlot,True,France,"['Cahors', 'structured wine', 'young tannins', 'fruity', 'black-currant flavor', 'crisp acidity', 'age', 'drink from 2016']"
US,"Burgundian technique was used in this wine, and the aromas and tastes of those techniques dominate. The wine is heavy in leesy, yeasty, toasted oak notes, which dominate, rather than subtlely support, the underlying fruit.",83,35.0,Chardonnay,True,France,"['Burgundian technique', 'leesy', 'yeasty', 'toasted oak', 'underlying fruit']"
Spain,"Fresh smelling, with notes of green melon, apple, honey and minerals. It's more simple than complex, with crisp apple and orange flavors and then a chunky, slightly pithy finish. For under $15 this is good, casual Albariño that won't steer you wrong.",87,14.0,Albariño,False,None,"['fresh smelling', 'green melon', 'apple', 'honey', 'minerals', 'simple', 'crisp', 'orange flavors', 'chunky', 'pithy finish', 'under $15', 'good', 'casual', 'Albariño']"
US,"Sourced from the Bacchus vineyard, this is an oaky, buttery Chardonnay that's fine for an every day quaffer. The oaky flavors quickly overtake fruit that is simple, clean, and apple flavored.",85,17.0,Chardonnay,True,None,"['Bacchus vineyard', 'oaky', 'buttery', 'Chardonnay', 'every day quaffer', 'fruit', 'simple', 'clean', 'apple flavored']"
US,"Light and almost effervescent in the glass, this popular Grenache-based pink from Doug Margerum offers yeasty, Champagne-like aromas, soft lemon-peel scents and wet slate minerality. The palate's tingling acidity delivers chalky lime and cotton candy flavors, bound together with compelling tension.",91,21.0,Rosé,False,None,"['Grenache', 'pink', 'yeasty', 'Champagne-like', 'lemon-peel', 'wet slate', 'tingling acidity', 'chalky lime', 'cotton candy', 'compelling tension']"
US,"Made from equal amounts of Pinot Noir and Chardonnay, this wine was aged on the lees for more than four years, which gives it a fabulous creamy, yeasty complexity. There are tantalizing flavors of limes, orange zest, roasted hazelnuts, minerals and smoke. Absolutely wonderful now, and should hold and develop in the bottle through 2014, at least. Only 563 cases produced.",96,85.0,Sparkling Blend,False,None,"['Pinot Noir', 'Chardonnay', 'aged on the lees', 'creamy', 'yeasty complexity', 'limes', 'orange zest', 'roasted hazelnuts', 'minerals', 'smoke', 'wonderful', 'develop', 'bottle', '563 cases produced']"
US,"Nice and dry, with lots of black pepper-infused wild blackberry flavors wrapped into big but pliant tannins. Lots of crunchy acidity, too, which makes the wine sharp. Will be great with a rich steak.",87,32.0,Syrah,False,None,"['dry', 'black pepper', 'wild blackberry', 'tannins', 'crunchy acidity', 'sharp', 'rich steak']"
US,"A monstrous mix of Mourvèdre (89%) and Syrah (11%) from Calaveras's Dalton Vineyard, Twisted Oak's River of Skulls opens with a heady nose of bright cherry, black tea and candied dark plum and shows off bright acidity for such a pleasantly plump wine. Tannins are resolved and yet rightfully there. The long finish is enveloped in raspberry flavors.",88,35.0,Rhône-style Red Blend,True,US,"['Mourvèdre', 'Syrah', 'Calaveras', 'Dalton Vineyard', 'Twisted Oak', 'River of Skulls', 'bright cherry', 'black tea', 'candied dark plum', 'bright acidity', 'plump wine', 'resolved tannins', 'long finish', 'raspberry flavors']"
Italy,"Here's a bright, buoyant style of Brunello that drinks easily but also delivers the sophistication and complexity you should expect of Montalcino. It opens with crisp, tonic aromas of cassis and wild berry with very subtle aromas of vanilla and toasted nut at the back.",91,55.0,Sangiovese Grosso,True,Italy,"['bright', 'buoyant', 'Brunello', 'sophistication', 'complexity', 'Montalcino', 'crisp', 'tonic', 'cassis', 'wild berry', 'vanilla', 'toasted nut']"
Italy,"Aged only in stainless steel to preserve its fresh, clean flavors, this expression of Favorita (a little-known white wine grape from northern Italy) offers lively tones of lemon zest, white blossom and cut grass.",86,16.0,Favorita,True,Italy,"['Aged', 'stainless steel', 'fresh', 'clean flavors', 'Favorita', 'white wine grape', 'northern Italy', 'lively tones', 'lemon zest', 'white blossom', 'cut grass']"
US,"High in acidity and ripe in pineapple and vanilla flavors, this is a simple wine. It has sweet and sour flavors, like a sour cough drop.",83,7.0,Pinot Grigio,False,None,"['high acidity', 'ripe pineapple', 'vanilla flavors', 'simple wine', 'sweet and sour flavors', 'sour cough drop']"
US,"Ever since Tamber Bey made the switch from Oakville fruit to their vineyard in Yountville, their Cabernets have dropped in quality. This '09 is dry, tannic and uninteresting, with a harshness that makes it difficult to appreciate the blackberry and cherry fruit.",85,42.0,Cabernet Sauvignon,True,US,"['Tamber Bey', 'Cabernets', 'Yountville', 'dry', 'tannic', 'uninteresting', 'harshness', 'blackberry', 'cherry fruit']"
Spain,"A lesson in contrasts: the nose is both weedy and sweet, with green strawberry aromas mixing with caramel. The palate is also green and slightly bitter, but that's offset by some jammy berry sweetness. Medium in terms of weight, but with burdensome sugars and a clumsy finish.",82,15.0,Tempranillo,False,None,"['contrasts', 'weedy', 'sweet', 'green strawberry', 'caramel', 'palate', 'bitter', 'jammy berry', 'medium weight', 'burdensome sugars', 'clumsy finish']"
US,"Comes on a bit flat, with a streak of cardboard under the fruit. Not as fresh as it should be, given the vintage.",81,14.0,Riesling,False,None,"['flat', 'cardboard', 'fruit', 'not fresh', 'vintage']"
Spain,"We suggest very little time with this bulky, medicinal Tempranillo. Despite color and weight, it's prickly, sour and not too ripe. The flavors and finish are short, while the overriding impression is that it's underdeveloped.",82,11.0,Tempranillo,False,None,"['bulky', 'medicinal', 'Tempranillo', 'prickly', 'sour', 'not too ripe', 'short flavors', 'underdeveloped']"
Italy,There are brambly notes here of forest floor and underbrush backed by enough fresh fruit to keep the wine chewy and fresh in the mouth. You'll also get notes of wet tobacco and wild mushroom that add complexity.,87,22.0,Barbera,False,None,"['brambly notes', 'forest floor', 'underbrush', 'fresh fruit', 'chewy', 'wet tobacco', 'wild mushroom', 'complexity']"
